category,architecture,n_images,threshold,mean_best_individual_iou,mean_of_individual_ious,mean_consensus_iou,consensus_beats_oracle_rate,consensus_beats_mean_rate,flag_rate
hazelnut,resnet18,36,0.8997123103627274,0.138015446882164,0.09966441603772916,0.13660788031466956,0.5833333333333334,1.0,0.25
hazelnut,vit,35,0.8987283675178204,0.09905013954661264,0.05873510889983615,0.09062359378917027,0.34285714285714286,0.8857142857142857,0.2571428571428571
screw,resnet18,56,0.8761657007243474,0.004538129791249635,0.0017394267403706817,0.0017687336743405948,0.03571428571428571,0.14285714285714285,0.25
screw,vit,39,0.8654438128144757,0.014166423826819652,0.008456716001834251,0.012968794614606743,0.38461538461538464,0.8205128205128205,0.2564102564102564
