image_path,category,architecture,defect_type,severity,mean_iou_disagreement,max_iou_disagreement,mean_spearman_disagreement,max_spearman_disagreement
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_007.png,hazelnut,vit,crack,0.13954878826530612,0.8482072359063403,0.9281290046988466,0.9675288494281006,1.318864865563074
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_008.png,hazelnut,vit,crack,0.17528300382653061,0.8015852269366776,0.8746355685131195,0.8411545651035927,1.0014922728170452
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_009.png,hazelnut,vit,crack,0.07643096301020408,0.8458473997961686,0.9424657534246575,0.9421468922303912,1.289185203741242
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_010.png,hazelnut,vit,cut,0.005919164540816327,0.8266708250296945,0.8833563345293955,0.9178691103557944,1.1255049489294626
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_011.png,hazelnut,vit,cut,0.010682397959183673,0.7689444176336745,0.8421113354485146,0.7802248716801005,0.9520798199496419
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_012.png,hazelnut,vit,cut,0.008709343112244899,0.8513902228368435,0.9824949698189135,0.9972829654304758,1.4011865353654382
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_013.png,hazelnut,vit,cut,0.010682397959183673,0.7894466260552124,0.866461193611656,0.7879809498248466,0.9415545498566585
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_014.png,hazelnut,vit,cut,0.00825095663265306,0.7988055256389487,0.8824309392265194,0.8522827893668716,1.0110441116125417
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_015.png,hazelnut,vit,cut,0.005341198979591837,0.8071247725066826,0.8838492523312917,0.8290452292701452,0.987038676549443
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_016.png,hazelnut,vit,cut,0.005699936224489796,0.8267109243913784,0.8935565036648069,0.8620469956696004,1.0355767569789087
