category,architecture,mean_severity,random_chance_iou,mean_individual_iou,individual_vs_chance_ratio,consensus_iou,consensus_vs_chance_ratio,verdict
hazelnut,resnet18,0.03528136515022676,0.026384326823731312,0.09966441603772916,3.7774098503087927,0.13660788031466956,5.1776147721077335,ABOVE chance
hazelnut,vit,0.036139645590379015,0.026991481557485233,0.05873510889983615,2.176060946293177,0.09062359378917027,3.3574886801291086,ABOVE chance
screw,resnet18,0.0032215174016034984,0.003170393318692786,0.0017394267403706817,0.5486469865158184,0.0017687336743405948,0.5578909291513009,BELOW chance
screw,vit,0.0031744669021454733,0.0031241912247266493,0.008456716001834251,2.706849675174467,0.012968794614606743,4.151088611978752,ABOVE chance
