epoch,train_loss,train_acc,val_loss,val_acc,elapsed_sec
1,1.3437222897861416,0.6666666666666666,0.38933882117271423,0.72,14.867953538894653
2,0.6125385819270373,0.8418491484184915,1.3213648796081543,0.56,11.670579195022583
3,0.23995184974513784,0.9610705596107056,0.6851848363876343,0.8,12.058635950088501
4,0.39433231245422706,0.9318734793187348,0.002766840625554323,1.0,75.53523778915405
5,0.05005708938408439,0.9902676399026764,1.2677594423294067,0.88,123.96846270561218
6,0.17156854001725877,0.9805352798053528,1.3715342283248901,0.88,91.70259809494019
7,0.0642645399303146,0.9878345498783455,0.0005657484289258718,1.0,24.06679391860962
8,0.22975725141471312,0.9951338199513382,0.009185975417494774,1.0,24.29250955581665
9,0.014824019906444162,0.9927007299270073,2.674940586090088,0.56,27.085110902786255
10,0.030694134064769903,0.9951338199513382,0.04177192971110344,1.0,26.530415773391724
11,0.6831630251411379,0.9927007299270073,0.6563612222671509,0.88,26.16106104850769
12,0.09801446471007545,0.9829683698296837,4.1358114685863256e-05,1.0,26.000428438186646
13,0.0006647582478227553,1.0,1.3020840883255005,0.84,26.070405960083008
14,0.10758833185718243,0.9951338199513382,0.30377253890037537,0.92,26.064505577087402
15,0.004497814364931356,1.0,0.0019363358151167631,1.0,25.880626440048218
