epoch,train_loss,train_acc,val_loss,val_acc,elapsed_sec
1,1.1269820141821303,0.7712895377128953,0.3235706090927124,0.96,23.175711631774902
2,0.39557876059028646,0.9391727493917275,0.8156462907791138,0.72,22.016823768615723
3,0.23403981422275813,0.9562043795620438,0.4255039095878601,0.88,23.130799531936646
4,0.2496810069266897,0.9586374695863747,1.4331631660461426,0.72,22.706453561782837
5,0.19180143308211708,0.9902676399026764,0.06676863133907318,1.0,21.805106163024902
6,0.16896068073419396,0.9829683698296837,0.18784724175930023,0.92,22.727481603622437
7,0.1631728683228983,0.975669099756691,1.895155906677246,0.68,22.361462593078613
8,0.19631180729164113,0.9878345498783455,0.6283884644508362,0.8,22.04680323600769
9,0.11504837015865783,0.9902676399026764,0.10809559375047684,0.96,43.75940918922424
10,0.14298753652137017,0.9902676399026764,0.5642294883728027,0.84,102.94554901123047
11,0.03608980519275596,0.9951338199513382,1.5895533561706543,0.72,102.45623278617859
12,0.05852937495331405,0.9781021897810219,0.15278597176074982,0.96,101.33933067321777
13,0.10942978854546065,0.9927007299270073,0.4701984226703644,0.88,102.46543312072754
14,0.01973934170966764,0.9927007299270073,0.7658827304840088,0.88,101.3718888759613
15,0.021401206131145323,0.9927007299270073,0.38691624999046326,0.92,102.39084124565125
