epoch,train_loss,train_acc,val_loss,val_acc,elapsed_sec
1,1.1005777442053464,0.42696629213483145,1.1195156309339735,0.4166666666666667,20.917248249053955
2,1.1862266529142187,0.6938202247191011,0.9845305217636956,0.5,20.940723657608032
3,0.6345174459928877,0.6910112359550562,0.9903674787945218,0.4722222222222222,20.167467832565308
4,0.6595148209775432,0.7106741573033708,1.4356837537553575,0.3888888888888889,20.023574829101562
5,0.5900880808240911,0.7668539325842697,1.1817502578099568,0.4722222222222222,19.728456735610962
6,0.664940576874808,0.800561797752809,0.6412315964698792,0.7777777777777778,19.753028869628906
7,0.4870746269654692,0.8314606741573034,0.32436224652661216,0.9166666666666666,19.900359630584717
8,0.5830404965227909,0.8033707865168539,1.7822335031297472,0.3888888888888889,20.073049545288086
9,0.4879958797036932,0.8061797752808989,0.3098866442839305,0.8888888888888888,20.04327940940857
10,0.4961804928404562,0.8146067415730337,0.18333740284045538,0.8611111111111112,19.826476335525513
11,0.519562556837382,0.8258426966292135,0.15955560778578123,0.8333333333333334,20.330177545547485
12,0.755132727408677,0.5421348314606742,0.7576490773095025,0.7222222222222222,20.601755619049072
13,0.48153657558259,0.7837078651685393,1.3107784059312608,0.5,19.77298665046692
14,0.4055244487323118,0.8567415730337079,2.702087548043993,0.3888888888888889,20.008384227752686
15,1.054992927091845,0.8455056179775281,0.12141476209378904,0.7777777777777778,20.489150285720825
