epoch,train_loss,train_acc,val_loss,val_acc,elapsed_sec
1,0.7308280628718687,0.6348314606741573,0.3066797157128652,0.6944444444444444,43.952946186065674
2,0.7098027621762136,0.7471910112359551,0.4127083851231469,0.6388888888888888,216.06766080856323
3,0.7985602788041147,0.6320224719101124,0.8580776254336039,0.5833333333333334,8.62241816520691
4,1.1466418782646737,0.6207865168539326,1.1986421545346577,0.5277777777777778,21.318469524383545
5,0.951363901074013,0.6910112359550562,3.5284957355923123,0.4444444444444444,21.385387420654297
6,0.7614643754584066,0.648876404494382,0.7354327771398756,0.5833333333333334,22.69519805908203
7,0.7282407134771347,0.8258426966292135,1.12105197707812,0.7222222222222222,24.090914249420166
8,0.4324817175275824,0.8426966292134831,1.9538530243767633,0.4444444444444444,24.54685401916504
9,0.3372401028787822,0.8960674157303371,6.52965071466234,0.3888888888888889,23.86201286315918
10,0.5642314791009667,0.9157303370786517,6.935578611161974,0.3055555555555556,23.77947235107422
11,0.297362587801861,0.9185393258426966,0.0031292808966504205,1.0,23.507275104522705
12,0.3205323639022333,0.9382022471910112,0.007040753622681627,1.0,23.589431285858154
13,0.29980357443348743,0.9213483146067416,0.004238824049625439,1.0,24.02282190322876
14,0.32287224256590513,0.9325842696629213,0.04902945953492437,0.9722222222222222,23.2911696434021
15,0.21465836544887404,0.9606741573033708,9.298926141526964,0.3055555555555556,23.277167320251465
